text,category,priority,location
Traffic island on Ramaiah Street road is broken!,Roads,Medium,Ramaiah Street
Street light pole broken near LB Nagar!,Street Lighting,Medium,LB Nagar
No water coming from tap for 5 days in Begumpet!,Water Supply,High,Begumpet
power cuts happening frequently in dilsukhnagar.,Electricity,Medium,Dilsukhnagar
dustbin near himayatnagar is full and not cleared for 15 days.,Sanitation,Medium,Himayatnagar
main drain in ameerpet blocked after heavy rain.,Drainage,Medium,Ameerpet
No power supply to near railway station area for 10 days!,Electricity,Medium,near railway station
new electricity connection not provided in ambedkar nagar for 15 days.,Electricity,Medium,Ambedkar Nagar
Dustbin near Ameerpet is full and not cleared for yesterday!,Sanitation,Medium,Ameerpet
Electricity restored but flickering continuously in near government hospital!,Electricity,Medium,near government hospital
park in station road has no lighting making it unsafe.,Street Lighting,High,Station Road
no water coming from tap for 2 weeks in gandhi nagar.,Water Supply,High,Gandhi Nagar
Entire Himayatnagar area dark at night due to power failure.,Street Lighting,Medium,Himayatnagar
public places dirty due to no sweeping in anna nagar.,Sanitation,Medium,Anna Nagar
garbage vehicle not coming to ambedkar nagar since 2 weeks.,Sanitation,Medium,Ambedkar Nagar
Public water tap not working in Old Town for 7 days.,Water Supply,Medium,Old Town
ring road near market area damaged and needs resurfacing.,Roads,Medium,Market Area
Traffic island on Indira Nagar road is broken.,Roads,Medium,Indira Nagar
new streets in jubilee hills have no street light installed.,Street Lighting,Medium,Jubilee Hills
Water supply is completely disrupted in our area since several days!,Water Supply,High,Ameerpet
Manhole open in LB Nagar road is dangerous.,Drainage,Medium,LB Nagar
Garbage truck route skipping Indira Nagar area!,Sanitation,Medium,Indira Nagar
Power disruption causing losses to businesses in Ameerpet.,Electricity,Medium,Ameerpet
Street light timer malfunction in Ambedkar Nagar ward.,Street Lighting,Low,Ambedkar Nagar
electricity meter tampered in market area apartment.,Electricity,Medium,Market Area
drainage water entering homes in near school.,Drainage,High,near school
water standing in indira nagar for 2 months due to poor drainage.,Drainage,Medium,Indira Nagar
Gravel road in RTC Bus Stand not paved causing dust!,Roads,Medium,RTC Bus Stand
water logging in outer ring road due to blocked drainage.,Drainage,Medium,outer ring road
Vandalism of street light in Ambedkar Nagar colony!,Street Lighting,Medium,Ambedkar Nagar
Road repair needed urgently in Bhagath Singh Nagar!,Roads,Medium,Bhagath Singh Nagar
water supply is interrupted daily in kukatpally.,Water Supply,Medium,Kukatpally
Several street lights off on Begumpet road for a month!,Street Lighting,Medium,Begumpet
Road markings faded on main junction road posing danger.,Roads,Low,main junction
Digging work done on Jubilee Hills road not filled properly.,Roads,Medium,Jubilee Hills
Construction debris not removed from Nehru Colony for last week.,Sanitation,Medium,Nehru Colony
there is no electricity supply in near school since a month.,Electricity,High,near school
vandalism of street light in nehru colony colony.,Street Lighting,Medium,Nehru Colony
Sewage pumping station failed in Ward 7.,Drainage,Medium,Ward 7
street dogs attacking due to garbage at lb nagar.,Sanitation,Medium,LB Nagar
Industrial waste illegally dumped near Bose Nagar.,Sanitation,Medium,Bose Nagar
Ring road near Srinivasa Nagar damaged and needs resurfacing.,Roads,Medium,Srinivasa Nagar
Public places dirty due to no sweeping in near school.,Sanitation,Medium,near school
Septic tank overflow in RTC Bus Stand colony.,Drainage,Medium,RTC Bus Stand
Side road in near school flooded due to poor drainage.,Roads,Medium,near school
nala near lb nagar encroached blocking water flow.,Drainage,Medium,LB Nagar
Unauthorized construction blocking main junction road.,Roads,Medium,main junction
street light timer malfunction in rajampet ward.,Street Lighting,Low,Rajampet
Unhygienic conditions in Srinivasa Nagar market due to garbage.,Sanitation,Medium,Srinivasa Nagar
Women feel unsafe walking on near railway station due to no street lights.,Street Lighting,Medium,near railway station
Overhead cable broken and lying on road in main junction.,Electricity,Medium,main junction
Power failure in Ward 5 since 10 days causing problems.,Electricity,High,Ward 5
Street light pole broken near Dilsukhnagar.,Street Lighting,Medium,Dilsukhnagar
Littering problem on Dilsukhnagar beach area!,Sanitation,Low,Dilsukhnagar
No street lighting in Gandhi Nagar causing safety issues.,Street Lighting,Medium,Gandhi Nagar
Manhole open in Ramaiah Street road is dangerous.,Drainage,Medium,Ramaiah Street
Narrow road in Bhagath Singh Nagar causing traffic jams.,Roads,Low,Bhagath Singh Nagar
Electricity restored but flickering continuously in Ashok Nagar.,Electricity,Medium,Ashok Nagar
Transformer noise disturbing residents of Dilsukhnagar!,Electricity,Low,Dilsukhnagar
accidents happening on outer ring road road due to no lighting.,Street Lighting,High,outer ring road
Solid waste management failure in Gandhi Nagar ward.,Sanitation,Medium,Gandhi Nagar
Waste segregation not done by staff in RTC Bus Stand.,Sanitation,Medium,RTC Bus Stand
